"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1107","Attacks Map UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","attacksMapUiPageLoadValidation"
"","943","Fraud Alerts UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","fraudAlertsUiPageLoadValidation"
"","1591","Verify all banned IP addresses can be deleted successfully","UI Regression","2026-06-04","passed","2026-06-04","ui.configuration.security.banned.BannedIPAddressTest","Test","ui.configuration.security.banned.BannedIPAddressTest","deleteAll"
"","752","Verify session limit persists after page refresh","UI Regression","2026-06-04","passed","2026-06-04","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","Test","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","shouldPersistSessionLimitAfterRefresh"
"","2394","Verify International Destinations call direction can be updated successfully","UI Regression","2026-06-04","passed","2026-06-04","ui.configuration.security.monitors.InternationalDestinationsTest","Test","ui.configuration.security.monitors.InternationalDestinationsTest","shouldUpdateCallDirection"
"","9374","Verify Call Traffic rule can be added successfully","UI Regression","2026-06-04","passed","2026-06-04","ui.configuration.security.CallTrafficTest","Test","ui.configuration.security.CallTrafficTest","addFullRule"
"","3878","UC Application ACL UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.configuration.security.SecurityPagesTest","Test","sanity.configuration.security.SecurityPagesTest","ucApplicationACLUiPageLoadValidation"
"","735","Verify duplicate and new countries are handled correctly","UI Regression","2026-06-04","broken","2026-06-04","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","addMixedDuplicateAndNewCountry"
"","1073","War Dialing UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.configuration.security.monitors.MonitorPagesTest","Test","sanity.configuration.security.monitors.MonitorPagesTest","warDialingUiPageLoadValidation"
"","1344","Messages UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.visibility.statistics.StatisticsPagesTest","Test","sanity.visibility.statistics.StatisticsPagesTest","messagesUiPageLoadValidation"
"","1127","Country Calling History UI page load validation","UI Sanity","2026-06-04","passed","2026-06-04","sanity.visibility.tollfraud.TollFraudPagesTest","Test","sanity.visibility.tollfraud.TollFraudPagesTest","countryCallingHistoryUiPageLoadValidation"
"","1007","Verify validation error messages are displayed when Request Rate fields are left empty","UI Regression","2026-06-04","passed","2026-06-04","ui.configuration.security.monitors.dos.UnSubscribeRateTest","Test","ui.configuration.security.monitors.dos.UnSubscribeRateTest","shouldShowValidationErrorsForEmptyFields"
