"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Verify that the RoboCalls configuration page loads successfully after login","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.botnet.RoboCallsTest","Test","ui.configuration.security.botnet.RoboCallsTest","verifyRoboCallsPageLoaded"
"","1258","Verify user can enable and update DERegister Rate Monitor configuration","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.DERegisterRateTest","Test","ui.configuration.security.monitors.dos.DERegisterRateTest","shouldUpdateDERegisterConfiguration"
"","4822","Holiday Config UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","holidayConfigUiPageLoadValidation"
"","1937","Verify DERegister Rate Monitor configuration persists after refresh","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.DERegisterRateTest","Test","ui.configuration.security.monitors.dos.DERegisterRateTest","shouldPersistDERegisterAfterRefresh"
"","2274","Verify alternate safelist user agent can be added successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.safelist.SafelistUserAgentTest","Test","ui.configuration.security.safelist.SafelistUserAgentTest","addAltUserAgent"
"","29692","Assigned Numbers UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.security.dno.DnoPagesTest","Test","smoke.configuration.security.dno.DnoPagesTest","assignedNumbersUiPageLoadValidation"
"","700","Verify alternate Incomplete Calls values can be configured successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.IncompleteCallsTest","Test","ui.configuration.security.monitors.IncompleteCallsTest","shouldConfigureAlternateValues"
"","589","Verify login failure with invalid credentials","UI Regression","2026-06-27","passed","2026-06-27","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyInvalidCredentials"
"","15615","Verify banned numbers report can be exported successfully","UI Regression","2026-06-27","failed","2026-06-27","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","exportCSVTest"
"","4363","Verify duplicate and new countries are handled correctly","UI Regression","2026-06-27","failed","2026-06-27","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","addMixedDuplicateAndNewCountry"
"","5344","Network Filters UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.system.filters.FilterPagesTest","Test","smoke.configuration.system.filters.FilterPagesTest","networkFiltersUiPageLoadValidation"
"","1885","PAssert Rate UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.security.monitors.dos.DosPagesTest","Test","smoke.configuration.security.monitors.dos.DosPagesTest","pAssertRateUiPageLoadValidation"
"","4659","Static Route UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.system.routes.RoutePagesTest","Test","smoke.configuration.system.routes.RoutePagesTest","staticRouteUiPageLoadValidation"
"","1077","Verify cancelling configuration restores previous Incomplete Calls values","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.IncompleteCallsTest","Test","ui.configuration.security.monitors.IncompleteCallsTest","shouldCancelConfiguration"
"","47","Verify International Destinations monitoring can be enabled successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.InternationalDestinationsTest","Test","ui.configuration.security.monitors.InternationalDestinationsTest","shouldEnableInternationalDestinations"
